thème,Question,reponse1,reponse2,reponse3,Bonne reponse
Première Guerre Mondiale ,Quel événement est considéré comme l'élément déclencheur immédiat de la Première Guerre Mondiale en 1914?,L'attaque de Pearl Harbor par le Japon.,L'assassinat de l'Archiduc François-Ferdinand à Sarajevo.,La crise de Fachoda entre la France et le Royaume-Uni.,2
Première Guerre Mondiale ,Quelle est la principale caractéristique de la guerre sur le Front Ouest entre 1915 et 1917?,La guerre de mouvement rapide.,La guerre de tranchées (position).,La guerre sous-marine illimitée.,2
Première Guerre Mondiale ,Comment appelle-t-on le plan allemand qui visait à vaincre rapidement la France en passant par la Belgique ?,Le Plan Maginot.,Le Plan Schlieffen.,Le Plan Marshall.,2
Première Guerre Mondiale ,En quelle année les États-Unis entrent-ils en guerre aux côtés de la Triple-Entente ?,1915,1916,1917,3
Première Guerre Mondiale ,Quel traité de paix met officiellement fin à la Première Guerre Mondiale en 1919 ?,Le Traité de Paris.,Le Traité de Versailles.,Le Traité de Trianon.,2
Première Guerre Mondiale ,Quel nouveau type d'arme a été massivement utilisé durant ce conflit (gaz)?,La bombe atomique.,Les gaz de combat (ypérite/chlore).,Le canon à longue portée.,2
Première Guerre Mondiale ,Quelle bataille de 1916 est devenue le symbole de l'enfer des tranchées pour les Français ?,La bataille de Verdun.,La bataille de Waterloo.,La bataille d'Austerlitz.,1
Première Guerre Mondiale ,Comment surnommait-on les soldats français de la Première Guerre mondiale ?,Les Grognards.,Les Poilus.,Les Sans-culottes.,2
Première Guerre Mondiale ,Quel homme politique français est surnommé "Le Père la Victoire" ?,Charles de Gaulle.,Georges Clemenceau.,Jean Jaurès.,2
Première Guerre Mondiale ,Quelle date marque l'armistice mettant fin aux combats ?,11 novembre 1918.,8 mai 1945.,14 juillet 1919.,1
Première Guerre Mondiale ,Quel empire a perpétré un génocide contre les Arméniens en 1915 ?,L'Empire Russe.,L'Empire Ottoman.,L'Empire Austro-Hongrois.,2
Première Guerre Mondiale ,Quel rôle majeur les femmes ont-elles joué à l'arrière ?,Elles combattaient au front.,Elles remplaçaient les hommes dans les usines (Munitionnettes).,Elles dirigeaient l'armée.,2
Première Guerre Mondiale ,Que s'est-il passé dans l'armée française en 1917 après l'échec du Chemin des Dames ?,Des mutineries.,Un coup d'État.,Une fraternisation générale.,1
Première Guerre Mondiale ,Quelle nouvelle arme blindée apparaît sur les champs de bataille vers 1916 ?,Le char d'assaut (Tank).,L'hélicoptère.,Le missile V2.,1
Première Guerre Mondiale ,Quelle organisation internationale est créée après la guerre pour maintenir la paix ?,L'ONU.,La SDN (Société des Nations).,L'OTAN.,2
